onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
94.802	n/a	47401	seqLearning_start	91	n/a	n/a	8
104.146	n/a	52073	learningBlock_1	31	n/a	n/a	8
104.164	n/a	52082	dot_no1_ON	11	n/a	n/a	8
104.752	n/a	52376	dot_no1_OFF	21	n/a	n/a	8
106.074	n/a	53037	dot_no6_ON	16	n/a	n/a	8
106.662	n/a	53331	dot_no6_OFF	26	n/a	n/a	8
107.984	n/a	53992	dot_no4_ON	14	n/a	n/a	8
108.572	n/a	54286	dot_no4_OFF	24	n/a	n/a	8
109.894	n/a	54947	dot_no2_ON	12	n/a	n/a	8
110.482	n/a	55241	dot_no2_OFF	22	n/a	n/a	8
111.804	n/a	55902	dot_no7_ON	17	n/a	n/a	8
112.392	n/a	56196	dot_no7_OFF	27	n/a	n/a	8
113.714	n/a	56857	dot_no3_ON	13	n/a	n/a	8
114.302	n/a	57151	dot_no3_OFF	23	n/a	n/a	8
115.624	n/a	57812	dot_no8_ON	18	n/a	n/a	8
116.212	n/a	58106	dot_no8_OFF	28	n/a	n/a	8
117.534	n/a	58767	dot_no5_ON	15	n/a	n/a	8
118.122	n/a	59061	dot_no5_OFF	25	n/a	n/a	8
119.444	n/a	59722	dot_no2_ON	12	n/a	n/a	8
120.032	n/a	60016	dot_no2_OFF	22	n/a	n/a	8
121.354	n/a	60677	dot_no7_ON	17	n/a	n/a	8
121.942	n/a	60971	dot_no7_OFF	27	8-6-7-4-1-3-5-2-4-1	1-6-4-2-7-3-8-5-2-7	8
162.1	n/a	81050	learningBlock_2	32	n/a	n/a	8
162.114	n/a	81057	dot_no1_ON	11	n/a	n/a	8
162.702	n/a	81351	dot_no1_OFF	21	n/a	n/a	8
164.024	n/a	82012	dot_no6_ON	16	n/a	n/a	8
164.612	n/a	82306	dot_no6_OFF	26	n/a	n/a	8
165.934	n/a	82967	dot_no4_ON	14	n/a	n/a	8
166.522	n/a	83261	dot_no4_OFF	24	n/a	n/a	8
167.844	n/a	83922	dot_no2_ON	12	n/a	n/a	8
168.432	n/a	84216	dot_no2_OFF	22	n/a	n/a	8
169.754	n/a	84877	dot_no7_ON	17	n/a	n/a	8
170.342	n/a	85171	dot_no7_OFF	27	n/a	n/a	8
171.664	n/a	85832	dot_no3_ON	13	n/a	n/a	8
172.252	n/a	86126	dot_no3_OFF	23	n/a	n/a	8
173.574	n/a	86787	dot_no8_ON	18	n/a	n/a	8
