Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAC349YUC,NaN,NaN,0,n/a
NDARAC350BZ0,79491,30,1,n/a
NDARAD615WLJ,80667,38,1,n/a
NDARAG584XLU,85801,28,1,n/a
NDARAH503YG1,102890,14,1,n/a
NDARAX272ZJL,79242,38,1,n/a
NDARAX283MAK,NaN,NaN,0,n/a
NDARAX887JRN,NaN,NaN,0,n/a
NDARAY461TZZ,78216,36,1,n/a
NDARBC734UVY,89617,8,1,n/a
NDARBJ482HJL,NaN,NaN,0,n/a
NDARBL444FBA,82143,28,1,n/a
NDARBR128UFP,NaN,NaN,0,n/a
NDARBT640EBN,78470,18,1,n/a
NDARBU098PJT,128052,26,1,n/a
NDARBU532YXZ,NaN,NaN,0,n/a
NDARBU928LV0,78192,22,1,n/a
NDARBV059CGE,87851,25,1,n/a
NDARBV167RMU,NaN,NaN,0,n/a
NDARBV577EE0,NaN,NaN,0,n/a
NDARBZ913ZB9,113127,30,1,n/a
NDARCC140AAK,NaN,NaN,0,n/a
NDARCF052AE0,NaN,NaN,0,n/a
NDARCG037CX4,78394,18,1,n/a
NDARCG947ZC0,145902,24,1,n/a
NDARCH001CN2,87944,26,1,n/a
NDARCM826PV9,NaN,NaN,0,n/a
NDARCU001ZN7,110242,27,1,n/a
NDARCW497XW2,83337,14,1,n/a
NDARCX053GU5,82846,13,1,n/a
NDARCZ915NC1,102039,20,1,n/a
NDARDA665DRH,NaN,NaN,0,n/a
NDARDE597GKQ,NaN,NaN,0,n/a
NDARDF568GL5,151027,13,1,n/a
NDARDJ092YKH,89497,24,1,n/a
NDARDK197BHM,NaN,NaN,0,n/a
NDARDL129FV3,93442,28,1,n/a
NDARDM118LR6,103416,26,1,n/a
NDARDM419DLQ,NaN,NaN,0,n/a
NDARDN393BJH,82243,19,1,n/a
NDARDN489EXJ,NaN,NaN,0,n/a
NDARDN924BV2,86752,24,1,n/a
NDARDR458MR7,81691,16,1,n/a
NDARDU760YZC,82015,30,1,n/a
NDARDV222JZ6,114702,17,1,n/a
NDARDX451ZGM,84477,27,1,n/a
NDARDX857DLB,82693,23,1,n/a
NDARDX872VH6,NaN,NaN,0,n/a
NDARDY714NV9,169129,32,1,n/a
NDARDZ321FMY,295943,11,1,n/a
NDARDZ627XFA,NaN,NaN,0,n/a
NDAREC647MKW,83221,19,1,n/a
NDAREC648WEL,77671,28,1,n/a
NDAREF888EVV,90777,15,1,n/a
NDAREG408DJ5,100867,16,1,n/a
NDAREG930XPP,NaN,NaN,0,n/a
